Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
ASHAPURA MINECHEM LTD.,ASHAPURA MINECHEM,8,1982,ASHAPURMIN
ASHIANA AGRO INDS. LTD.,AAIL,47739,1990,NA
ASHIANA HOUSING LTD.,NA,41001,1986,ASHIANA
ASHIANA ISPAT LTD.,ASHIANA ISPAT,24105,1992,NA
ASHIKA CREDIT CAPITAL LTD.,NA,64300,1994,NA
ASHIMA LTD.,ASHIMA,13121,1982,ASHIMASYN
ASHIRWAD CAPITAL LTD.,ASHIRWAD CAPITAL,64300,1985,NA
ASHIRWAD STEELS & INDS. LTD.,NA,64191,1986,NA
ASHISH POLYPLAST LTD.,ASHISH POLYPLAST,22209,1994,NA
LESHA INDUSTRIES LTD.,NA,46102,1992,NA
ASHNOOR TEXTILE MILLS LTD.,NA,1312,1984,NA
AEONX DIGITAL TECHNOLOGY LTD.,NA,46102,1992,ASHOKALCO
ASHOK LEYLAND LTD.,ASHOK LEYLAND,29102,1948,ASHOKLEY
ASHOKA BUILDCON LTD.,ASHOKA BUILDCON,42101,1993,ASHOKA
ASHOKA REFINERIES LTD.,NA,46909,1991,NA
ASHRAM ONLINE.COM LTD.,ASHRAM ONLINE.COM,64191,1991,TATIASKYLN
TRIDEV INFRAESTATES LTD.,NA,64191,1988,NA
ASIA CAPITAL LTD.,ASIA CAPITAL,64990,1983,NA
BLACK ROSE INDS. LTD.,ASIA FAB,46691,1990,NA
ASIA PACK LTD.,ASIA PACK,64191,1985,NA
ASIAN BEARINGS LTD.,ASIAN BEARING,28140,1974,NA
ASIAN FERTILIZERS LTD.,ASIAN FERTILIZERS,20,1986,NA
ASIAN FLORA LTD.,NA,1191,1994,NA
THAKKERS GROUP LTD.,ASIAN FOOD PRODUCTS,64300,1968,NA
ASIAN HOTELS (NORTH) LTD.,ASIAN HOTELS,55101,1980,ASIANHOTNR
ASIAN ENERGY SERVICES LTD.,NA,43122,1992,ASIANENE
ASIAN PAINTS LTD.,ASIAN PAINTS,20221,1945,ASIANPAINT
ASIAN PETRO PRODUCTS & EXPORTERS LTD.,NA,46693,1991,NA
ASIAN STAR CO. LTD.,NA,32112,1995,NA
ASIAN TEA & EXPORTS LTD.,ASIAN TEA & EXPORTS,46201,1987,NA
GLOBAL INFRATECH & FINANCE LTD.,NA,64191,1995,NA
ASPINWALL & CO. LTD.,NA,34,1920,ASPINWALL
ASSOCIATED ALCOHOLS & BREWERIES LTD.,NA,1101,1989,ASALCBR
A C C LTD.,ACC,23941,1936,ACC
ASSOCIATED CERAMICS LTD.,ASSOCIATED CERAMICS,23912,1970,NA
REAL TOUCH FINANCE LTD.,ASSOCIATED CEREALS,64990,1997,NA
HIND ALUMINIUM INDS. LTD.,NA,64300,1987,NA
A S I INDUSTRIES LTD.,NA,8106,1945,ASOCSTONE
R R I L LTD.,NA,64990,1991,NA
ASTEC LIFESCIENCES LTD.,ASTEC CHEMICALS,20,1994,ASTEC
ASTRA MICROWAVE PRODUCTS LTD.,AMPL,26109,1991,ASTRAMICRO
ASTRAL LTD.,ASTRAL POLY TECHNIK,22209,1996,ASTRAL
ASTRAZENECA PHARMA INDIA LTD.,ASTRAZENECA PHARMA,46497,1979,ASTRAZEN
ASUTOSH ENTERPRISES LTD.,ASUTOSH ENTERPRISES,64300,1981,NA
VAARAD VENTURES LTD.,N H N CORPNS.,46909,1993,NA
ATCOM TECHNOLOGIES LTD.,ATCOM TECHNOLOGIES,77,1989,ATCOM
ATLANTAA LTD.,ATLANTA,42101,1984,ATLANTAA
ATLAS CYCLES (HARYANA) LTD.,NA,30921,1950,ATLASCYCLE
ATMASTCO LTD.,ATMASTCO,24,1994,ATMASTCO
EVEXIA LIFECARE LTD.,ATREYA PETROCHEM,46691,1990,NA
ATUL AUTO LTD.,NA,30912,1986,ATULAUTO
ATUL LTD.,ATUL,20,1975,ATUL
AKSHARCHEM (INDIA) LTD.,NA,20114,1989,AKSHARCHEM
AURO LABORATORIES LTD.,NA,2100,1989,NA
AUROBINDO PHARMA LTD.,AUROBINDO PHARMA,21002,1986,AUROPHARMA
AUSTIN ENGINEERING CO. LTD.,NA,28140,1978,NA
AUTO PINS (INDIA) LTD.,AUTO PINS,29301,1975,NA
AUTOLINE INDUSTRIES LTD.,AUTOLINE INDS.,29209,1996,AUTOIND
AUTOMOBILE CORPN. OF GOA LTD.,NA,29201,1980,AUTOCORP
AUTOMOBILE PRODUCTS OF INDIA LTD.,NA,64191,1949,NA
AUTOMOTIVE AXLES LTD.,AUTOMOTIVE AXLES,29301,1981,AUTOAXLES
AUTOPAL INDUSTRIES LTD.,AUTOPAL INDS.,27400,1985,AUTOPALIND
AUTORIDERS INTERNATIONAL LTD.,AUTORIDERS INTL.,77,1985,NA
AVAILABLE FINANCE LTD.,AVAILABLE FINANCE,64990,1993,NA
AVALON TECHNOLOGIES LTD.,AVALON TECHNOLOGIES,26104,1999,AVALON
AVANTEL LTD.,ASL,2630,1990,AVANTEL
AVANTI FEEDS LTD.,AVANTI FEEDS,10809,1993,AVANTIFEED
SARTHAK GLOBAL LTD.,SARTHAK GLOBAL,46305,1985,NA
SARTHAK INDUSTRIES LTD.,NA,34,1982,SARTHAKIND
SANOFI INDIA LTD.,NA,21002,1956,SANOFI
AVON MERCANTILE LTD.,AVON MERCANTILE,64990,1985,NA
KOBO BIOTECH LTD.,NA,64191,1993,NA
